Number of solutions: 120

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, A, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, D, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, D, WAR @ COE, A, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, D, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, A, COE @ LUT, D, 
Week: 1, LOR @ SIM, A, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, B, BVU @ NWU, D, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, D, LUT @ CEN, B, COE @ NWU, A, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, D, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, D, DBQ @ NWU, B, LUT @ WAR, A, 
Week: 7, NWU @ LOR, D, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, A, COE @ LUT, E, 
Week: 1, LOR @ SIM, A, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, B, BVU @ NWU, E, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, E, LUT @ CEN, B, COE @ NWU, A, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, E, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, E, DBQ @ NWU, B, LUT @ WAR, A, 
Week: 7, NWU @ LOR, E, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, D, COE @ LUT, A, 
Week: 1, LOR @ SIM, D, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, B, BVU @ NWU, A, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, A, LUT @ CEN, B, COE @ NWU, D, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, A, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, A, DBQ @ NWU, B, LUT @ WAR, D, 
Week: 7, NWU @ LOR, A, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, D, COE @ LUT, E, 
Week: 1, LOR @ SIM, D, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, B, BVU @ NWU, E, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, E, LUT @ CEN, B, COE @ NWU, D, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, E, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, E, DBQ @ NWU, B, LUT @ WAR, D, 
Week: 7, NWU @ LOR, E, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, E, COE @ LUT, A, 
Week: 1, LOR @ SIM, E, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, B, BVU @ NWU, A, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, A, LUT @ CEN, B, COE @ NWU, E, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, A, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, A, DBQ @ NWU, B, LUT @ WAR, E, 
Week: 7, NWU @ LOR, A, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, B, WAR @ CEN, E, COE @ LUT, D, 
Week: 1, LOR @ SIM, E, CEN @ BVU, B, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, B, BVU @ NWU, D, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, B, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, D, LUT @ CEN, B, COE @ NWU, E, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, D, WAR @ COE, B, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, D, DBQ @ NWU, B, LUT @ WAR, E, 
Week: 7, NWU @ LOR, D, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, A, COE @ LUT, B, 
Week: 1, LOR @ SIM, A, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, B, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, B, LUT @ CEN, D, COE @ NWU, A, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, B, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, B, DBQ @ NWU, D, LUT @ WAR, A, 
Week: 7, NWU @ LOR, B, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, A, COE @ LUT, E, 
Week: 1, LOR @ SIM, A, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, B, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, A, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, A, 
Week: 7, NWU @ LOR, E, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, B, COE @ LUT, A, 
Week: 1, LOR @ SIM, B, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, E, 
Week: 2, COE @ LOR, D, BVU @ NWU, A, LUT @ DBQ, E, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, A, LUT @ CEN, D, COE @ NWU, B, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, A, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, E, COE @ BVU, A, DBQ @ NWU, D, LUT @ WAR, B, 
Week: 7, NWU @ LOR, A, BVU @ LUT, E, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, B, COE @ LUT, E, 
Week: 1, LOR @ SIM, B, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, D, BVU @ NWU, E, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, E, LUT @ CEN, D, COE @ NWU, B, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, E, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, E, DBQ @ NWU, D, LUT @ WAR, B, 
Week: 7, NWU @ LOR, E, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, A, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, D, BVU @ NWU, A, LUT @ DBQ, B, SIM @ CEN, C, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, A, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, A, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, A, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, A, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, D, WAR @ CEN, E, COE @ LUT, B, 
Week: 1, LOR @ SIM, E, CEN @ BVU, D, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, D, BVU @ NWU, B, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, E, WAR @ BVU, C, NWU @ SIM, D, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, B, LUT @ CEN, D, COE @ NWU, E, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, B, WAR @ COE, D, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, B, DBQ @ NWU, D, LUT @ WAR, E, 
Week: 7, NWU @ LOR, B, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, E, 
Week: 8, LOR @ WAR, D, DBQ @ BVU, E, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, A, COE @ LUT, B, 
Week: 1, LOR @ SIM, A, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, B, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, B, LUT @ CEN, E, COE @ NWU, A, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, B, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, B, DBQ @ NWU, E, LUT @ WAR, A, 
Week: 7, NWU @ LOR, B, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, A, COE @ LUT, D, 
Week: 1, LOR @ SIM, A, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, B, SIM @ CEN, C, 
Week: 3, LOR @ LUT, A, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, A, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, A, 
Week: 7, NWU @ LOR, D, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, A, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, A, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, B, COE @ LUT, A, 
Week: 1, LOR @ SIM, B, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, D, 
Week: 2, COE @ LOR, E, BVU @ NWU, A, LUT @ DBQ, D, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, D, 
Week: 4, DBQ @ LOR, D, SIM @ WAR, A, LUT @ CEN, E, COE @ NWU, B, 
Week: 5, BVU @ SIM, D, CEN @ DBQ, A, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, D, COE @ BVU, A, DBQ @ NWU, E, LUT @ WAR, B, 
Week: 7, NWU @ LOR, A, BVU @ LUT, D, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, B, COE @ LUT, D, 
Week: 1, LOR @ SIM, B, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, E, BVU @ NWU, D, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, B, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, D, LUT @ CEN, E, COE @ NWU, B, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, D, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, D, DBQ @ NWU, E, LUT @ WAR, B, 
Week: 7, NWU @ LOR, D, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, B, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, B, CEN @ NWU, C, LUT @ SIM, D, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, A, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, B, 
Week: 2, COE @ LOR, E, BVU @ NWU, A, LUT @ DBQ, B, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, A, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, A, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, B, COE @ BVU, A, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, A, BVU @ LUT, B, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, A, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, C, SIM @ DBQ, E, WAR @ CEN, D, COE @ LUT, B, 
Week: 1, LOR @ SIM, D, CEN @ BVU, E, DBQ @ COE, C, NWU @ WAR, A, 
Week: 2, COE @ LOR, E, BVU @ NWU, B, LUT @ DBQ, A, SIM @ CEN, C, 
Week: 3, LOR @ LUT, D, WAR @ BVU, C, NWU @ SIM, E, CEN @ COE, A, 
Week: 4, DBQ @ LOR, A, SIM @ WAR, B, LUT @ CEN, E, COE @ NWU, D, 
Week: 5, BVU @ SIM, A, CEN @ DBQ, B, WAR @ COE, E, NWU @ LUT, C, 
Week: 6, LOR @ CEN, A, COE @ BVU, B, DBQ @ NWU, E, LUT @ WAR, D, 
Week: 7, NWU @ LOR, B, BVU @ LUT, A, WAR @ DBQ, C, SIM @ COE, D, 
Week: 8, LOR @ WAR, E, DBQ @ BVU, D, CEN @ NWU, C, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, B, COE @ LUT, C, 
Week: 1, LOR @ SIM, B, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, D, 
Week: 3, LOR @ LUT, B, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, A, COE @ NWU, B, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, A, LUT @ WAR, B, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, D, SIM @ COE, B, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, B, CEN @ NWU, D, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, B, COE @ LUT, E, 
Week: 1, LOR @ SIM, B, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, C, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, D, 
Week: 3, LOR @ LUT, B, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, B, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, B, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, D, SIM @ COE, B, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, B, CEN @ NWU, D, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, C, COE @ LUT, B, 
Week: 1, LOR @ SIM, C, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, E, 
Week: 2, COE @ LOR, A, BVU @ NWU, B, LUT @ DBQ, E, SIM @ CEN, D, 
Week: 3, LOR @ LUT, C, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, B, LUT @ CEN, A, COE @ NWU, C, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, B, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, E, COE @ BVU, B, DBQ @ NWU, A, LUT @ WAR, C, 
Week: 7, NWU @ LOR, B, BVU @ LUT, E, WAR @ DBQ, D, SIM @ COE, C, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, C, CEN @ NWU, D, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, C, COE @ LUT, E, 
Week: 1, LOR @ SIM, C, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, B, 
Week: 2, COE @ LOR, A, BVU @ NWU, E, LUT @ DBQ, B, SIM @ CEN, D, 
Week: 3, LOR @ LUT, C, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, E, LUT @ CEN, A, COE @ NWU, C, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, E, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, B, COE @ BVU, E, DBQ @ NWU, A, LUT @ WAR, C, 
Week: 7, NWU @ LOR, E, BVU @ LUT, B, WAR @ DBQ, D, SIM @ COE, C, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, C, CEN @ NWU, D, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, B, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, C, 
Week: 2, COE @ LOR, A, BVU @ NWU, B, LUT @ DBQ, C, SIM @ CEN, D, 
Week: 3, LOR @ LUT, E, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, B, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, B, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, C, COE @ BVU, B, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, B, BVU @ LUT, C, WAR @ DBQ, D, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, D, LUT @ SIM, B, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, A, WAR @ CEN, E, COE @ LUT, C, 
Week: 1, LOR @ SIM, E, CEN @ BVU, A, DBQ @ COE, D, NWU @ WAR, B, 
Week: 2, COE @ LOR, A, BVU @ NWU, C, LUT @ DBQ, B, SIM @ CEN, D, 
Week: 3, LOR @ LUT, E, WAR @ BVU, D, NWU @ SIM, A, CEN @ COE, B, 
Week: 4, DBQ @ LOR, B, SIM @ WAR, C, LUT @ CEN, A, COE @ NWU, E, 
Week: 5, BVU @ SIM, B, CEN @ DBQ, C, WAR @ COE, A, NWU @ LUT, D, 
Week: 6, LOR @ CEN, B, COE @ BVU, C, DBQ @ NWU, A, LUT @ WAR, E, 
Week: 7, NWU @ LOR, C, BVU @ LUT, B, WAR @ DBQ, D, SIM @ COE, E, 
Week: 8, LOR @ WAR, A, DBQ @ BVU, E, CEN @ NWU, D, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, B, WAR @ CEN, A, COE @ LUT, C, 
Week: 1, LOR @ SIM, A, CEN @ BVU, B, DBQ @ COE, D, NWU @ WAR, E, 
Week: 2, COE @ LOR, B, BVU @ NWU, C, LUT @ DBQ, E, SIM @ CEN, D, 
Week: 3, LOR @ LUT, A, WAR @ BVU, D, NWU @ SIM, B, CEN @ COE, E, 
Week: 4, DBQ @ LOR, E, SIM @ WAR, C, LUT @ CEN, B, COE @ NWU, A, 
Week: 5, BVU @ SIM, E, CEN @ DBQ, C, WAR @ COE, B, NWU @ LUT, D, 
Week: 6, LOR @ CEN, E, COE @ BVU, C, DBQ @ NWU, B, LUT @ WAR, A, 
Week: 7, NWU @ LOR, C, BVU @ LUT, E, WAR @ DBQ, D, SIM @ COE, A, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, A, CEN @ NWU, D, LUT @ SIM, C, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
Week: 0, BVU @ LOR, D, SIM @ DBQ, B, WAR @ CEN, A, COE @ LUT, E, 
Week: 1, LOR @ SIM, A, CEN @ BVU, B, DBQ @ COE, D, NWU @ WAR, C, 
Week: 2, COE @ LOR, B, BVU @ NWU, E, LUT @ DBQ, C, SIM @ CEN, D, 
Week: 3, LOR @ LUT, A, WAR @ BVU, D, NWU @ SIM, B, CEN @ COE, C, 
Week: 4, DBQ @ LOR, C, SIM @ WAR, E, LUT @ CEN, B, COE @ NWU, A, 
Week: 5, BVU @ SIM, C, CEN @ DBQ, E, WAR @ COE, B, NWU @ LUT, D, 
Week: 6, LOR @ CEN, C, COE @ BVU, E, DBQ @ NWU, B, LUT @ WAR, A, 
Week: 7, NWU @ LOR, E, BVU @ LUT, C, WAR @ DBQ, D, SIM @ COE, A, 
Week: 8, LOR @ WAR, B, DBQ @ BVU, A, CEN @ NWU, D, LUT @ SIM, E, 

 , Game 1, Ref Crew, Game 2, Ref Crew, Game 3, Ref Crew, Game 4, Ref Crew, 
